1,2,3,4,5
5.75,6.39,1.45,7.25,3.5
4.79,5.54,3.24,7.35,3.79
5.97,5.19,3.38,6.32,4.52
7.28,6.73,2.56,7.23,4.48
4.65,7.24,3.71,7.29,1.07
4.65,7.12,4.73,6.29,1.69
7.37,4.99,7.4,8.87,3.72
6.15,5.63,4.31,7.47,3.72
4.3,6.4,4.46,5.81,3.72
5.81,7.17,3.87,7.66,8.39
4.3,5.42,0.55,6.03,3.8
4.3,5.78,3.95,7.79,4.59
5.36,4.67,4.11,8.16,4.34
2.13,4.56,8.43,6.18,3.91
2.41,6.98,3.65,7.96,2.56
4.16,7.63,4.54,7.41,4.06
3.48,5.91,3.94,7.82,1.92
5.47,7.2,1.9,8.9,2.67
3.64,6.43,6.06,6.75,2.32
2.88,5.23,5.35,6.25,3.11
7.2,6.43,5.42,6.11,6.24
4.66,7.85,2.36,6.18,0.39
5.1,5.96,6.53,6.92,3.96
2.86,7.88,1.48,7.34,0.74
4.18,2.86,5.06,7.28,2.34
5.17,6.99,7.94,7.83,4.52
3.27,6.1,2.22,7.01,3.09
5.56,5.64,2.98,8.45,1.49
4.1,6.11,4.18,6.74,2.0
4.56,3.61,3.09,9.72,3.95
4.1,5.74,1.21,7.63,1.98
7.78,6.43,4.12,6.14,3.3
4.98,7.77,2.09,5.93,3.06
3.41,5.38,4.85,7.48,2.09
6.23,5.03,2.35,6.78,6.0
3.17,5.4,6.79,7.71,3.89
5.31,7.1,2.59,7.47,0.16
2.06,6.39,3.42,6.93,3.26
3.01,5.36,5.46,6.15,2.07
5.3,6.62,1.78,5.49,4.19
6.11,6.12,4.41,6.55,1.89
5.26,7.16,6.35,7.86,2.84
4.83,5.16,1.11,7.21,3.71
4.55,5.61,4.33,5.75,4.21
2.78,5.53,4.47,7.17,1.32
3.92,4.24,5.41,7.39,2.53
4.31,6.36,1.77,6.12,2.34
6.59,6.31,1.62,7.15,2.09
5.52,6.01,4.94,7.06,5.47
2.36,5.72,4.53,5.86,3.57
